query,case_title,case_url
Article 6,"Section 242 in The Companies Act, 2013
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/11185865/
Article 6,"THE CONSTITUTION (FORTY-SECOND AMENDMENT) ACT, 1976",https://indiankanoon.org/doc/50073852/
Article 6,"THE CONSTITUTION (SEVENTH AMENDMENT) ACT, 1956",https://indiankanoon.org/doc/156973329/
Article 7,"Article 7 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/735354/
Article 7,"A.K. Gopalan vs The State Of Madras.Union Of India: ... on 19 May, 1950",https://indiankanoon.org/docfragment/1857950/?formInput=Article%207
Article 7,"THE CONSTITUTION (FORTY-SECOND AMENDMENT) ACT, 1976",https://indiankanoon.org/doc/50073852/
Article 7,"THE CONSTITUTION (FORTY-FOURTH AMENDMENT) ACT, 1978",https://indiankanoon.org/doc/39266478/
Article 7,"M/S Dit (International Taxation), ... vs M/S Morgan Stanley & Co. Inc on 9 July, 2007",https://indiankanoon.org/docfragment/584977/?formInput=Article%207
Article 7,"Ishikawajma-Harima Heavy Industries ... vs Director Of Income Tax, Mumbai on 4 January, 2007",https://indiankanoon.org/docfragment/245369/?formInput=Article%207
Article 7,"Gujarat State Financial Corporation vs M/S. Natson Manufacturing Co. (P) Ltd. & ... on 29 August, 1978",https://indiankanoon.org/docfragment/1961081/?formInput=Article%207
Article 7,"Commissioner Of Income Tax, Meerut And ... vs Hyundai Heavy Industries Co. Ltd on 18 May, 2007",https://indiankanoon.org/docfragment/500072/?formInput=Article%207
Article 7,"Section 176 in The Companies Act, 1956
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/542266/
Article 7,"THE CONSTITUTION (EIGHTY-FOURTH AMENDMENT) ACT, 2002",https://indiankanoon.org/doc/176912387/
Article 8,Constitution of India,https://indiankanoon.org/doc/237570/
Article 8,"Article 8 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/691208/
Article 8,"Article 9 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/260256/
Article 8,"THE CONSTITUTION (FORTY-SECOND AMENDMENT) ACT, 1976",https://indiankanoon.org/doc/50073852/
